Image,Audio,Label
dorngrasmuecke-sylvia-communis-6f4d2.jpg,Sylvia-communis-371676.png,Sylvia communis
dorngrasmuecke-sylvia-communis-9322f.jpg,Sylvia-communis-367794.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aa83c.jpg,Sylvia-communis-196326.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aefbf-1.jpg,Sylvia-communis-263656.png,Sylvia communis
dorngrasmuecke-sylvia-communis-aefbf.jpg,Sylvia-communis-194672.png,Sylvia communis
dorngrasmuecke-sylvia-communis-e4fcf.jpg,Sylvia-communis-199781.png,Sylvia communis
000598_full.jpg,Turdus-merula-206851.png,Turdus merula
1200px-Blackbird_-_Turdus_merula_-_K.jpg,Turdus-merula-72862.png,Turdus merula
1200px-Common_blackbird_(Turdus_meru.jpg,Turdus-merula-132596.png,Turdus merula
1200px-Turdus_merula-3.jpg,Turdus-merula-129088.png,Turdus merula
12286130.jpg,Turdus-merula-132618.png,Turdus merula
12487748.jpg,Turdus-merula-177721.png,Turdus merula
126601.jpg,Turdus-merula-197097.png,Turdus merula
138664.jpg,Turdus-merula-155897.png,Turdus merula
14169283.jpg,Turdus-merula-394983.png,Turdus merula
179131.jpg,Turdus-merula-180743.png,Turdus merula
1792533_large3173.jpg,Turdus-merula-207245.png,Turdus merula
181465.jpg,Turdus-merula-537177.png,Turdus merula
1832241_large33411.jpg,Turdus-merula-318262.png,Turdus merula
1920px-Turdus_merula_Amsel_01_ms.jpg,Turdus-merula-215581.png,Turdus merula
1960.jpeg,Turdus-merula-142275.png,Turdus merula
200787.jpg,Turdus-merula-473918.png,Turdus merula
201753123311_DSCN1592.JPG,Turdus-merula-531092.png,Turdus merula
214437.jpg,Turdus-merula-278587.png,Turdus merula
24980462.jpg,Turdus-merula-394729.png,Turdus merula
25272096.jpg,Turdus-merula-194011.png,Turdus merula
25543447.jpg,Turdus-merula-252882.png,Turdus merula
2588504.jpg,Turdus-merula-467464.png,Turdus merula
2603574_l.jpg,Turdus-merula-323956.png,Turdus merula
26666.jpg,Turdus-merula-207238.png,Turdus merula
2781.jpg,Turdus-merula-438242.png,Turdus merula
28085.jpg,Turdus-merula-458092.png,Turdus merula
29411908.jpg,Turdus-merula-534614.png,Turdus merula
3034374_large42608.jpg,Turdus-merula-298601.png,Turdus merula
3049956.jpg,Turdus-merula-237132.png,Turdus merula
30782003.jpg,Turdus-merula-177684.png,Turdus merula
310642.jpg,Turdus-merula-287927.png,Turdus merula
3327257_large322.jpg,Turdus-merula-366999.png,Turdus merula
353071.jpg,Turdus-merula-401810.png,Turdus merula
3578216.jpg,Turdus-merula-180718.png,Turdus merula
3596895_l.jpg,Turdus-merula-172676.png,Turdus merula
3849794_m.jpg,Turdus-merula-325210.png,Turdus merula
4117_Merle_noir_male_adulte.jpg,Turdus-merula-99075.png,Turdus merula
4305841.jpg,Turdus-merula-476942.png,Turdus merula
4782793.jpg,Turdus-merula-206850.png,Turdus merula
5193382836236671.jpg,Turdus-merula-127996.png,Turdus merula
5808507.jpg,Turdus-merula-226288.png,Turdus merula
5e61f96a290799124eee2a9f11fe63d0.jpg,Turdus-merula-144196.png,Turdus merula
5ffee7eaea6b8a11ebfad7ffe9680b46.jpg,Turdus-merula-156083.png,Turdus merula
