,class,mfcc,image
10,car,"[-2.7065030e+02  7.3990616e+01 -3.5209064e+01  7.3642659e+00
 -1.0177197e+01  2.8328188e+01 -1.7808127e+00  1.9916380e+01
 -6.4529552e+00 -1.4889582e+00 -3.0890236e+00  1.3377923e+01
 -8.4548321e+00  1.3099948e+01 -5.4221535e+00 -1.1758275e+00
  1.5296074e+00 -6.6693348e-01 -1.4755752e+00  2.5291555e+00
 -9.1953926e+00 -9.1734991e+00 -3.0799148e+00 -1.9916099e+00
 -1.2062231e+01 -4.8572211e+00 -1.6724414e+00  4.5233831e+00
 -4.8336959e+00 -2.8879421e-02 -6.2019076e+00  1.9879703e-01
 -2.1137919e+00  2.7784190e+00  1.3867275e+00  2.8203189e+00
  2.0646646e+00  1.7417042e+00  1.3861117e+00  5.2222705e+00]",train_00256.jpg
11,car,"[-2.22473938e+02  8.51624451e+01  3.23399806e+00  1.87116833e+01
  1.13334379e+01  1.75159740e+01  8.93001652e+00  1.10273285e+01
  2.62657595e+00  2.26385345e+01  6.37655687e+00  1.33037453e+01
  6.19469595e+00  1.07312317e+01 -4.18971634e+00  6.19476509e+00
 -2.92995006e-01  7.78878736e+00  3.06379223e+00  8.06011581e+00
  2.67756367e+00  3.45645118e+00  1.52922523e+00  8.46094608e+00
  5.56600142e+00  9.40710163e+00 -6.93251193e-01  1.92581996e-01
 -4.36877871e+00  2.48668003e+00 -1.22905588e+00  6.93214226e+00
  8.56628358e-01  4.46189547e+00 -3.60103250e+00  9.51493979e-01
  1.65906072e+00  6.20548534e+00  7.99625039e-01  3.27037501e+00]",train_00106.jpg
12,car,"[-73.50963    119.31507    -20.078545    23.635216    -5.3717775
  -4.851788     8.515784    -5.8395066   -0.8413198    5.6767964
  -0.9583902    4.029623     0.42925826   6.0697923   -3.7386062
   6.1707234    2.90284      0.18768477  -1.6323562   -1.8805445
 -13.178686    -3.0547235   -6.9090595   -0.8481249   -2.9284956
   2.8746269    0.77578664   6.8358216    1.146604     4.0834503
  -0.8364163    2.6135871   -2.3505118    2.6863708    0.69975954
   4.5241795   -1.2349147    2.7942832   -0.2567124    3.6643615 ]",train_00131.jpg
13,bird,"[-4.5148132e+02  1.7237226e+01 -1.9369692e+01  2.6081890e+01
 -9.2540514e-01  1.7962465e+01  6.3048587e+00  1.7558056e+01
  1.0232988e+01  1.5522297e+01  6.0935702e+00  1.5498310e+01
 -8.6561769e-01  1.6489271e+01  6.9833817e+00  1.2148334e+01
  6.4629393e+00  7.7521915e+00  4.3642864e+00  9.6126738e+00
  2.2821925e+00  8.1231318e+00 -2.0871270e-02  9.1924181e+00
  5.3186402e+00  5.8345308e+00  3.2599211e+00  6.6839461e+00
  1.0335186e+00  7.3013043e+00  8.8253784e-01  5.9246840e+00
  1.1885544e+00  2.6267164e+00  7.9153752e-01  4.3790927e+00
  1.0534171e+00  4.6296477e+00  7.9694413e-02  3.9379580e+00]",0779.jpg
14,bird,"[-3.4844266e+02  6.3253807e+01 -4.1180439e+01  6.6341240e+01
 -2.2836037e+01  1.0851970e+01 -5.0824771e+00 -3.8696554e+00
 -3.1996845e+01 -5.5469799e+00 -8.3178587e+00 -6.9597545e+00
 -1.0696265e+01  7.5987444e+00 -3.3127215e+00 -1.2743038e+00
 -3.1837234e+00  5.5185757e+00 -4.7891836e+00  2.4398257e-01
 -1.4776421e+00  1.1175995e+00 -2.3067019e+00  3.3857446e+00
 -4.0037923e+00  2.9292448e+00  1.2155528e+00 -5.7339799e-01
 -2.5861883e+00  2.7920339e+00 -5.7062545e+00 -1.7671902e+00
 -1.4769329e-01 -8.3865774e-01 -2.3911855e+00  1.9245937e+00
 -2.9095571e+00  6.7374009e-01 -3.5615370e-01  2.9477426e-01]",0898.jpg
15,car,"[-94.57009     81.7775      -8.437329    14.495026   -14.645279
   9.16883     -8.051438     2.564533    -2.0292726    5.26704
   1.4871593    8.9563     -12.966062    -0.17339267  -0.13014822
   5.8876743   -2.8490188    3.0143354    0.8950005   -1.0827073
   4.633057     2.4486217   -3.207385     1.6182846   -4.6854854
   6.887128    -8.164175     1.6915103   -3.4438574    7.3452806
   5.7256513    3.1672966    1.8897761    1.947823    -2.4953787
   3.686557    -0.2965504    2.4380667   -3.7676818    2.3494792 ]",train_00337.jpg
16,bird,"[-5.6045929e+02  6.7659515e+01 -6.3361053e+00  2.1853231e+01
  5.2938023e+00  5.4635205e+00 -2.9924102e+00 -2.2362723e+00
  8.0216271e-01  4.6276994e+00 -4.3865395e+00  2.9681466e+00
 -1.5163635e+00  5.7530780e+00 -1.7576569e+00  3.8097320e+00
  2.7070239e+00  9.2800150e+00 -2.9158964e+00 -5.0019509e-01
 -6.7715435e+00 -2.7671711e+00 -5.5725665e+00  3.8572195e-01
 -4.1443768e+00  1.8481071e+00 -5.0467167e+00  2.1840756e+00
 -2.4068375e+00  8.5511798e-01  5.0688529e-01  5.0231261e+00
 -1.0731919e+00  5.0550179e+00 -6.1823535e-01  1.8629292e+00
 -3.1486273e+00  3.8568795e-01 -2.4182266e-01  3.0065658e+00]",0846.jpg
17,bird,"[-8.4680182e+02  4.4213131e+01 -1.0128064e+01 -2.5195119e+00
 -8.0143394e+00  2.2671211e+00 -9.4269781e+00 -3.6902316e+00
 -9.3746176e+00 -5.3376260e+00 -9.5795994e+00 -4.8969274e+00
 -8.6866188e+00 -8.0219465e-01 -6.6735685e-01  5.1210704e+00
 -4.3885188e+00 -1.5079505e+00 -1.3946944e+00  4.7369494e+00
  2.3295775e-01  3.5364037e+00 -1.1344460e+00  3.2143242e+00
 -1.2903868e+00  3.7229693e+00 -2.4757957e-01  2.2787521e+00
 -1.9931847e+00  4.3438997e+00  9.7459920e-02  1.2410550e+00
 -2.3144093e+00  2.0384741e+00 -9.7432637e-01  2.2130184e+00
 -1.3602687e+00  3.1850471e+00 -1.1805444e+00  7.2860599e-01]",0378.jpg
18,car,"[ 5.0888058e+01  1.0175796e+02 -8.0387020e+00  4.9610546e+01
 -3.0250269e+01  1.8928185e+01 -3.7275150e+01  7.6394835e+00
 -2.4329002e+01 -7.5037937e+00  1.0682083e+01 -1.3023639e+01
  4.3497653e+00  8.3560717e-01 -3.1962290e+00 -6.2216115e+00
  3.0120187e+00 -7.0661359e-02 -6.0600252e+00  1.8244812e+00
 -1.9126649e+00  1.7151700e+00 -4.9391360e+00  4.2842636e+00
 -5.7103157e+00  2.6913936e+00 -4.3219128e+00  1.0572184e+00
 -3.1447129e+00  2.7856944e+00 -7.7834826e+00 -1.4397521e+00
 -4.7360325e+00  4.3099856e+00  2.4809235e-01  3.6853876e+00
  2.6708486e+00  3.9208900e-02 -2.2372970e-01  2.4672759e+00]",train_00806.jpg
19,dog,"[-3.2478802e+02  1.3908090e+02 -3.9185388e+00 -3.4087418e+01
 -4.7665714e+01 -3.9196297e+01 -1.6983629e+01 -1.0851508e+01
 -3.6276875e+01 -5.8989453e+00 -8.8750725e+00 -4.0903087e+00
  3.3410323e+00  1.1530058e+01  1.0331843e+01  4.4246368e+00
 -3.5514426e+00  1.7379776e+00 -1.6502763e+00 -2.5864065e+00
  1.9892426e+00  2.3212594e-01 -5.9360232e+00 -3.3228483e+00
 -7.5456471e+00 -2.0434155e+00 -1.5661312e+00  1.1436812e+01
  2.2090833e+00  1.3409191e+00  3.6738443e-01 -6.0661232e-01
  2.6045516e+00  5.6039009e+00  1.5103871e+00 -2.8353899e+00
 -3.3593192e+00 -2.9339495e+00 -4.2613640e-01  5.9503180e-01]",n02094258_81.jpg
20,dog,"[-4.13678436e+02  1.48137436e+02 -3.07359695e+01 -4.01671867e+01
 -2.96021900e+01 -1.08577414e+01 -2.93043270e+01 -1.93248501e+01
 -1.37676935e+01 -2.01833076e+01 -1.23252172e+01 -6.39769936e+00
  3.86153221e-01 -1.18208656e+01 -8.98178673e+00 -3.71994710e+00
 -5.00192165e+00  7.98959732e-01 -5.00964689e+00 -8.62232685e+00
 -8.90967369e+00 -2.01211834e+00 -3.27842879e+00 -1.29373026e+00
 -4.62122679e+00 -8.37901402e+00 -7.76153994e+00 -1.08481369e+01
 -1.22311211e+01 -8.72007370e+00 -8.94178581e+00 -3.69544196e+00
  1.74952936e+00  3.14847207e+00  1.83539665e+00 -2.64128399e+00
 -3.63698483e+00 -2.88273787e+00 -1.95231450e+00  2.06505228e-02]",n02094114_348.jpg
21,car,"[-1.7398045e+02  6.6775299e+01  4.8214730e-02  3.8763401e+01
  9.9719810e+00  7.7432752e+00  1.4362701e+01  1.0543021e+01
 -1.5571183e+00  1.2713248e+01  2.5190945e+00  4.3934293e+00
 -8.9395123e+00  9.6777993e-01 -2.3431101e+00  3.3621771e+00
 -1.3455205e+00  2.8318603e+00 -4.0918965e+00  3.3974760e+00
 -2.8437238e+00  1.1287484e+01 -1.0640751e+01  2.9913979e+00
 -4.3446331e+00 -9.7985154e-01 -5.1373644e+00  2.8884828e+00
 -1.4814312e+00  5.3857875e+00 -1.8513560e+00  2.1481314e+00
  2.5742557e+00  1.9605867e+00 -2.4054229e+00  7.3288727e-01
  8.6917424e-01  4.0471082e+00 -5.9363360e+00 -1.3305383e+00]",train_00861.jpg
22,dog,"[-2.3110411e+02  1.4883307e+02 -1.9535164e+01  1.2507446e+01
  2.6753359e+00  8.9585457e+00  6.8618550e+00  7.9855914e+00
  7.7003231e+00  1.2062469e+01  4.0723505e+00  1.0060001e+01
  1.6547261e+00  8.0563974e+00  4.6041575e-01  4.4188933e+00
 -2.9507499e+00  8.4988058e-01 -4.4847059e+00  2.9396470e+00
 -2.7428114e+00  2.6363287e+00 -1.9287143e+00  3.9201956e+00
 -1.9255214e+00  3.0054808e+00 -1.4590340e+00  4.3079481e+00
 -2.7767193e-01  1.9279748e+00 -3.7418184e+00  2.2639660e-03
 -3.4143281e+00  4.7977707e-01 -2.6942315e+00  2.2579966e+00
 -1.6514953e+00  2.0908353e+00 -2.0678866e+00  7.7095872e-01]",n02089078_4.jpg
23,bird,"[-5.8067529e+02  2.8440393e+02  9.0477539e+01 -3.7730251e+01
 -4.5664257e+01 -5.3421469e+00  9.0985651e+00 -5.1024365e+00
 -1.3742841e+01 -8.2592363e+00 -2.4478190e+00 -2.3602803e+00
 -2.0264857e+00 -2.3333950e-01 -8.4232920e-01 -3.4395506e+00
 -4.1986141e+00 -3.0493629e+00 -2.0695240e+00 -1.2967063e+00
 -1.9575669e-01  2.1524449e-01 -7.4800009e-01 -1.6193544e+00
 -1.2459106e+00 -8.8899118e-01 -1.4556781e+00 -1.7931980e+00
 -1.4886197e+00 -1.1602215e+00 -1.5537530e+00 -1.4851109e+00
 -9.1874754e-01 -4.0023813e-01 -9.4358534e-01 -1.7460777e+00
 -2.6461585e+00 -3.2726519e+00 -3.7364771e+00 -3.2313788e+00]",0306.jpg
24,dog,"[-3.7538395e+01  1.0199172e+02 -3.1489075e+01  1.3021704e+01
  1.2136129e+00  9.1593275e+00 -4.8614874e+00  7.5247927e+00
 -5.3602157e+00  7.8812833e+00  4.4921827e+00  6.5382361e-01
 -4.2907753e+00  8.0164499e+00 -2.2705307e+00  3.7148993e+00
 -1.8367211e+00  1.9009455e+00 -1.6866378e+00  8.9485817e+00
 -1.8435884e+00  9.2110519e+00 -7.1994847e-01  9.3872252e+00
  8.6466753e-01  4.7804198e+00  7.9339844e-01  4.2238107e+00
  1.1131425e+00  4.2985654e+00 -2.7995369e-01  3.4905305e+00
  5.5352375e-02  5.4610720e+00 -2.4924390e+00  3.6539538e+00
 -1.4039055e+00  2.8269165e+00 -3.6545095e+00  2.7774196e+00]",n02087046_133.jpg
25,bird,"[-4.2275305e+02  6.7754082e+01 -1.5637223e+01  1.4414044e+01
 -9.6856222e+00  1.1834353e+01  2.8393614e+00  1.0415803e+01
  2.1092365e+00  9.4931917e+00  1.9108562e+00  1.1685150e+01
  6.4561462e+00  7.2603207e+00  1.9904240e+00  5.5379624e+00
 -1.4668311e+00  2.2419906e+00 -1.1074653e+00  4.2918224e+00
 -2.9606476e+00  3.1313136e+00 -4.0762806e+00  1.1220449e+00
 -4.9138966e+00  2.5255287e-01 -6.1860714e+00 -1.1752210e+00
 -5.7330499e+00 -1.4617344e+00 -6.1473041e+00 -1.9178765e+00
 -5.1388569e+00 -1.3741416e+00 -5.2176266e+00 -2.5412399e-01
 -3.5598497e+00  7.4049687e-01 -3.8622236e+00  1.8679619e+00]",0638.jpg
26,bird,"[-5.61902466e+02 -3.31529961e+01 -1.04139748e+02 -7.17174301e+01
 -5.83883324e+01 -4.35946350e+01 -1.53736448e+01 -1.15542345e+01
  3.64965653e+00  9.80372906e+00  1.09081192e+01  7.54530191e+00
  1.40885582e+01  1.44887505e+01  3.62359548e+00  2.10733104e+00
 -5.13714695e+00 -1.70366287e+00 -8.89568901e+00 -5.47686398e-01
 -9.25979996e+00 -1.37628210e+00 -5.15551424e+00  2.99367929e+00
 -3.42486882e+00  4.40312052e+00 -7.98093796e-01  4.10216856e+00
 -1.58946002e+00  5.77089500e+00 -1.30452228e+00  4.64980698e+00
 -2.12092018e+00  1.69070232e+00 -2.58511019e+00  4.84524059e+00
 -4.07662249e+00  1.02420068e+00 -1.79016495e+00  4.13502550e+00]",0384.jpg
27,car,"[ 44.693153   120.44831    -53.877987    36.047134   -18.764803
  30.651056   -41.182022    -3.2987692  -18.614225    -1.650359
  -1.1050416   -7.4356313    8.921882    -0.29074433  -2.9064379
  -3.6731377    4.615721     0.9282169   -3.2748604   -0.13629077
  -5.4445004    2.3798335   -3.35581      4.4125285   -6.835343
   1.7529451   -4.735684     4.2590237   -2.905224     0.6069076
  -7.472749     0.48739377  -1.2968765    2.8836637    1.289206
   2.085053    -0.19511269   0.64403516   0.20878726  -0.8668295 ]",train_00823.jpg
28,bird,"[-6.03124634e+02  6.20787926e+01 -6.80501328e+01 -6.31076193e+00
 -1.57318478e+01 -1.29380941e+01 -1.94961777e+01 -5.72534132e+00
 -7.05020905e+00 -1.40204525e+01 -1.38512993e+01 -5.18559098e-01
 -7.80551195e+00  2.71941376e+00 -1.05173779e+01 -9.35209095e-01
 -4.57597494e+00  8.50718498e-01 -1.41269004e+00  2.93307400e+00
  1.76443410e+00  4.54743719e+00 -5.63932276e+00  3.62853789e+00
 -3.98176813e+00  4.39971350e-02 -4.90246630e+00 -7.26384103e-01
 -3.38616800e+00 -5.40030837e-01 -4.99671650e+00  1.76576567e+00
 -4.14430952e+00  1.14178395e+00 -2.91632771e+00  2.18466520e-01
 -6.58622205e-01  2.57385731e+00 -8.30728710e-01  2.09103107e+00]",0069.jpg
29,dog,"[-2.7970163e+02  1.4375897e+02 -2.4939659e+01  4.7896581e+00
  6.2151151e+00  2.3716216e+00  4.7333665e+00  1.6510363e+01
  1.6067150e+01  1.4936257e+01  2.0756252e+00  2.3187983e+00
 -4.4992533e+00  2.8951454e+00  1.4003860e+00  1.2127913e+01
 -4.7751418e-01  9.6737509e+00 -2.1938331e+00  5.4239616e+00
 -7.5648012e+00  1.1690742e+00  3.5957265e-01  6.9837985e+00
  8.4054750e-01  2.3835557e+00 -1.9634880e+00  1.3878291e+00
  1.4889382e+00  2.6138525e+00  1.2153897e+00  3.5932121e+00
 -5.3225648e-01 -1.0999328e+00 -3.3586335e+00  1.5355018e-01
 -3.5427611e+00  1.9169093e+00 -2.4759502e+00  8.5057068e-01]",n02088466_654.jpg
30,car,"[-152.434       105.405754    -14.60019      11.316061      5.207443
   19.55411       9.375251     29.4695       12.644057      9.904098
    1.1889831    10.268239     11.139551      4.9425063    -1.757869
    4.8582616     7.314842      0.68521565   -7.0150814     9.8992195
   10.163599      5.454781     -5.7087917     9.327272      3.1580803
    7.6166463     5.9377294     4.470725      3.0117185     3.511547
    1.0222039     4.596619     -3.647043     -0.36455294    3.1786683
    9.333916      1.0869186     5.278314     -3.5313706     6.0112247 ]",train_00017.jpg
31,bird,"[-2.4616827e+02  1.2371140e+02 -3.3816513e+01  1.5082754e+01
 -3.2278358e+01  5.5141449e+00 -8.3612595e+00  1.6263657e+00
 -1.3833709e+01  3.8189909e+00 -7.2397766e+00  7.6713214e+00
 -5.2520223e+00  5.2617373e+00 -5.0077014e+00  5.0259480e+00
 -3.0791552e+00  6.0523448e+00 -2.1776737e-01  5.6082664e+00
 -1.0790677e+00  6.1885896e+00 -1.0293759e+00  5.3041210e+00
 -2.2192639e-01  5.7791715e+00  1.0512520e+00  5.0583038e+00
  4.3697822e-01  4.4365764e+00  1.2729981e+00  5.7976537e+00
  7.3184431e-01  6.7483959e+00  1.1137042e+00  4.9655843e+00
  1.2764891e+00  5.2933884e+00  6.8740690e-01  4.8720961e+00]",0343.jpg
32,bird,"[-3.0302557e+02  1.3032596e+02 -1.7098320e+01 -1.9259320e+00
 -1.9300186e+01 -3.8961959e+00 -1.8841761e+01  1.2203178e+00
 -1.0579426e+01 -1.7289201e+00 -8.0742617e+00  4.4774499e+00
 -9.1339102e+00 -3.6505145e-01  1.4931536e-01  7.2591062e+00
 -2.7118969e+00  9.5991731e-01 -1.9057755e+00  2.6906505e+00
  1.9039388e+00  1.5072498e+00 -4.2652884e+00 -5.4681951e-01
  1.3395147e+00 -1.7566813e+00 -2.1059318e+00  1.8832889e+00
 -3.1964836e+00  2.5688746e+00 -3.7640686e+00  4.4248252e+00
 -5.5462427e+00  6.3096051e+00 -3.7588546e+00  4.7469730e+00
 -2.2761631e+00  2.5193272e+00 -3.1582671e-01  1.0518413e+00]",0996.jpg
33,dog,"[-2.96660767e+02  1.61122009e+02  1.12784433e+00  1.10398655e+01
 -5.88790178e+00  1.63981762e+01 -6.83128881e+00  3.30915213e+00
  3.60339713e+00  5.58215714e+00  6.48433399e+00  1.60414088e+00
  6.70805120e+00  1.15215969e+01  1.27993813e+01  1.08798475e+01
  1.40531445e+00 -5.75931263e+00 -1.00180101e+01 -1.17140589e+01
 -6.12348413e+00  1.28447473e+00 -2.51747847e-01 -2.94024754e+00
  1.62824786e+00  1.43703747e+00  4.11715412e+00  2.53865933e+00
 -3.19618165e-01  4.82714891e+00  6.03102207e+00  2.26878190e+00
 -2.81375504e+00 -6.08774090e+00 -7.25008583e+00 -3.68177032e+00
 -3.17845196e-01  2.25917578e+00  1.14135575e+00 -1.85944223e+00]",n02092339_235.jpg
34,dog,"[-2.9322357e+02  1.1798950e+02 -2.5076624e+01  3.1400666e+00
  8.8234940e+00  4.9762169e+01 -3.0753806e+00  1.4321222e+01
 -1.3038302e+01  2.5993132e+01  7.8948636e+00  1.4284986e+01
  8.2275171e+00  1.7973515e+00 -6.6708915e-02  1.6050092e+00
  1.5928371e+00  1.5158528e+00  1.6872264e+00  2.8287418e+00
  2.6579607e+00  5.4516721e+00 -1.1774644e+00  8.8227396e+00
 -1.9663100e+00  3.8239222e+00 -2.9708440e+00  2.5392931e+00
 -3.2144821e+00  4.2012987e+00 -2.6314185e+00  3.9281051e+00
 -1.8544487e+00 -6.6833037e-01 -2.2015944e+00 -2.6559019e-01
 -1.7126472e+00 -1.6729954e+00 -1.1903415e+00  1.2786741e+00]",n02098286_141.jpg
35,dog,"[-2.3331421e+02  1.5813489e+02 -2.6282103e+01  8.8547201e+00
 -1.3883319e+01  8.5468626e+00 -7.4319854e+00 -4.3371854e+00
  1.4526023e+00 -4.8264286e-01  3.3173378e+00  9.5192451e+00
  1.2674688e+01  1.3388950e+01  8.4794321e+00  8.8811483e+00
 -3.0065060e-01  3.2614431e+00 -4.3634768e+00 -3.9673872e+00
 -9.1885223e+00 -3.4218562e+00  2.1808615e+00  3.3196280e+00
  6.7052901e-01  1.9955503e+00 -1.9069896e+00  2.2272029e+00
  2.0350151e+00  2.0962590e-01 -2.5225747e+00 -1.8017441e+00
 -1.9370443e+00  1.7155381e+00 -5.0180382e-01  6.3295561e-01
 -3.0950210e+00 -2.9736176e+00 -3.9672761e+00  2.9264715e+00]",n02093256_417.jpg
